id	ivan_annotations	shio_annotations	adjudicated	text
4			lifestyle	为什么每次不在中国都会在他们家？@田鸡W @-RJ-爱喝乙醇的甲醇
24			food & drink	@kelly小妞-曼陀罗 你厉害的！蛋糕吃好一屁股坐我笔记本上[good][good][good][good]
30			none	分享图片
32			lifestyle	一把年纪了，到哪儿还都抱着她的玩具狗。
40			gaming	我刚刚绑定了手机，获得了【如来神掌】勋章，微博已经尽在我掌中！也想练成此神功？快来绑定吧！http://t.cn/SXSW4j
45			lifestyle	喝爷爷换了杯子喝水。爷爷的杯子被熏得有股淡淡的檀香味，喝水时又回忆起小的时候…那种感觉真好。
57			food & drink	做的cup cake
81			entertainment	#十大劲歌金曲颁奖礼#支持林峰拿大奖
88			entertainment	我参加了投票《杨幂刘恺威公开恋情》投给“原来当初的爆料是真的！” http://t.cn/SXM7bS
93			lifestyle	不就是剪了短发么，被一家人不约而同的认为像陈真！我真的很好奇他们老一辈心目中的陈真是哪个版本的→_→还有爷爷，您那一副骄傲的表情外加赞许的语气是想说陈真太娘炮还是您孙女太man啊π_π
96			lifestyle	主银为了这个陌生的胖子把我们哥俩关起来了
98			lifestyle	龙年,我有了—个龙弟弟
103			lifestyle	看完BM,再看铁甲钢拳,聊聊天 过的甚好 http://t.cn/SXSWZs
127			sports	上海大鲨鱼领先！！
136			feelings	好萌啊。。。。。。萌死了
137			gaming	太棒了，我的声望升级啦！获得了丰富的货物奖励！ 帮助好友的奖励！一起来玩微城市！开始游戏http://t.cn/SX2FTG
140			feelings	哎呦。。。。我要孤独终老了！！！！！！！！！我要哭了[泪][泪][泪]
145			none	3399658619939722
146			gaming	来之不易啊，有木有，有木有！//@仅自己可见z1 在游戏咖啡恋人中获得了成就咖啡豆霸主，成为微博第70位获得该成就的人，你想和TA比试一下吗?http://t.cn/SqbUOO
147			gaming	小小乐园，大大乐趣，和我一起体验升级的优越感吧。 华丽的乐园之梦已经越来越近了！这样的#小小乐园#才是我想要的呢！去ta的乐园瞧瞧http://t.cn/SXSWPO
165			gaming	微三国将你化身三国君主体验最拉风的名将PK，最炫酷的技能特效，最义气的兄弟公会！ SkybirdatSH强化装备成功我强化装备成功，将细鳞甲强化到了2级，真是RP爆发啊，想不想来跟我比一比！我也要玩http://t.cn/SVjVII
167			entertainment	我给粉红女郎万人海选选手@Vivian丶张敏 投了一票，大家都来支持她吧，活动地址http://t.cn/SMlIX0 ,访问她的主页http://t.cn/S6fjpZ （来自@微女郎 ）
177			lifestyle	回复了【小孩3岁严重平脚有什么纠正办法？】您好！您担心的是什么问题？ 左脚大小不一样还是脚有长短？还是有平足？http://t.cn/SXSOkh
205			none	3399658850382577
223			lifestyle	真受不了我老爸  一口一个东方购物不会骗人的[汗]
228			entertainment	人家倪妮也是88年的，怎么就如此的风情万种啊[喵呜]
229			lifestyle	用满屏幕的塔塔谋杀你!!!!!!@Lillian-羅 MANMANMANMANMANMAN[老大]
239			lifestyle	历时一年，十个周末，一百六十个小时，港大的研究生课程告一个段落。接下来是语言学习了。想想庄子说的话：学海无涯，何苦呢！
244			gaming	#乱世天下#藕苒横行霸道鱼肉乡里，带领一帮狗腿叫嚣乎东西隳突乎南北，翻箱倒柜刮地三尺，搜得银子12,661两七钱五分四厘。http://t.cn/Sh4yvx
245			lifestyle	我说：指导老师、你手机是拿来摆设的么？老万说都是指导老师找不到学生...我还真是遇到宝了...发你短信可以一整天都不回!!!老师你手机是有多不喜欢拿它啊？夏老..老..师...师...收到短信回句「好的」就行了...
252			advertisement	“【百脑汇拜早年 话费Q币砸出来】”，这个活动推荐给大家。 地址：http://t.cn/S6jolc
272			entertainment	【九月】五人共用一把吉他，加拿大乐队Walk off the Earth超强表演 http://t.cn/SXPkX5  （分享自 @优酷网）
277			lifestyle	打开信箱，发现.......我没订呀！想了半天才想起来，是@招商证券 送的。[嘻嘻]
294			lifestyle	看到大熊猫了呢！哈库内    #美图GIF#
309			lifestyle	@传说中的y3 阿姨阿姨，那种巨型的长得像比熊的狗是什么品种啊？还是就是比熊里的姚明？
313			lifestyle	今天满90天了，明天开始正式进入第四个月啦
319			food & drink	好多好多菜，撑！打包回家的还能吃几天！！！排队值得啊！[馋嘴][馋嘴]外婆叫你吃饭了！！！
332			entertainment	天天晚上守在＜＜悬崖＞＞边，心惊肉跳！现在的悬疑片越来越好看。
342			food & drink	聪爸创意料理之 爱心豆瓣酥
366			none	@飛天小阿當 Thank you～ [亲亲]
367			advertisement	我刚更新了2012版新浪微博客户端，推荐你也一起来体验http://t.cn/SVYw05。2012版微博客户端更快捷分享位置，还能寻找周围的微博好友哦，赶紧和我一起带上微博过新年吧！
385			none	WTF...
396			none	3399659106555585
428			lifestyle	每天都要发愁、焦虑、不安、无助、绝望一次，半个小时才会恢复，都快成惯性了。马上又可以少1天了，所以要坚持下去！就当每天一次的焦虑是xxx好了→_→
462			entertainment	【无与伦比的声音！！】这个曲子是绝杀~~~~我承认~~~我差点哭了~~~感动数万人的一曲子！！What Are Words http://t.cn/Si5j3e
468			food & drink	我在力士相撲焼肉。周日晚餐: 不用多說，強烈推薦!!!  http://t.cn/SXSjn5
485			lifestyle	【注意啦！！购物小票里的健康杀手】小票中含有的双酚A可以通过皮肤进入人体，影响人们的生殖系统，并诱发心脏病和癌症等。温馨提醒：小票别长时间攥在手里，手上有伤口的，更要慎重！
499			entertainment	原来Nikita S2都放了一半了...
